number,transliteration,status,prompt_id,error
001,Al-Fatiha,success,879e4a98-069b-4f90-a7cb-fb030748fd7c,
002,Al-Baqarah,success,7aa4dd19-984f-45a3-b817-264f8e7122c3,
003,Aal-i-Imran,success,54f99fed-0075-4d33-ba53-ecd89da15238,
004,An-Nisa,success,2c19e3da-db22-42d3-b9c1-059a861f7892,
005,Al-Ma'idah,success,0f5f588c-e3ba-4d2b-af4b-df2978e878bf,
006,Al-An'am,success,6a295f61-8085-43b5-bf1a-a11c7203110b,
007,Al-A'raf,success,f455367b-20e6-40a0-92f0-2a3911670c26,
008,Al-Anfal,success,8eb5e793-d527-4f76-bfa5-68f8038e682d,
009,At-Tawbah,success,d0eeeb07-6d5e-4413-b0c1-0b5965292832,
010,Yunus,success,2c160714-0dc5-4cbf-bf73-b76f158b90da,
011,Hud,success,99838cb2-9287-496c-9e20-6fe84c9cabc3,
012,Yusuf,success,75f0b665-f6d0-49e9-b4a3-c6ec262c87cc,
013,Ar-Ra'd,success,7f482a59-bcee-49b0-933e-301a69b47d6a,
014,Ibrahim,success,7cdf41b8-79e6-46fd-8033-df2c78db482b,
015,Al-Hijr,success,176a86d7-61a5-4a48-8c5d-dc73a45b435e,
016,An-Nahl,success,68f8b98d-3eaa-4a87-ad81-5f56a7bbdfb7,
017,Al-Isra,success,56ba0ccc-b355-4479-a630-ed605e0b6967,
018,Al-Kahf,success,e1fbb51b-8053-4bcc-ac51-2c71a361bc94,
019,Maryam,success,f28fb6a4-c07a-4673-8c6c-c06d5a4679e8,
020,Ta-Ha,success,51ecd8f1-f328-4e2b-8f4e-b1a710c7bd7c,
021,Al-Anbiya,success,47c4b13b-42df-42b9-8835-06595cb638dd,
022,Al-Hajj,success,fc15499d-45cd-4d72-bcc3-c853b8edb3b2,
023,Al-Mu'minun,success,cbfb253a-dabc-4046-ba6c-440f35d978ab,
024,An-Nur,success,b5c4f76d-fc86-4a2c-891c-98a84de93296,
025,Al-Furqan,success,c3a62dd8-5e8c-489a-a431-f8f2c8f28932,
026,Ash-Shu'ara,success,086d3564-95e5-4252-b0c6-8b3374ee7c3f,
027,An-Naml,success,0c41bc31-1c8c-4f74-ac78-5eedbdbae703,
028,Al-Qasas,success,de03cf3c-9f0e-4799-aac2-370da44ac5a2,
029,Al-Ankabut,success,c350ee07-f8a0-4717-9bcc-0ad149ac8caa,
030,Ar-Rum,success,0eda2537-6a08-4085-8a7e-b81d93fe9968,
031,Luqman,success,09fd9e8b-6ddf-477f-87bd-ebc11b46c181,
032,As-Sajdah,success,149c24cf-706d-463a-bc90-553b9caa0582,
033,Al-Ahzab,success,cdc95775-0293-4c6f-bcb0-6d3717febae5,
034,Saba,success,1ba3672b-8700-449a-93ee-6a0931e605a9,
035,Fatir,success,102b92cd-a3e8-48ae-9188-971e2cc79742,
036,Ya-Sin,success,1b5f4db5-6bcb-4e45-81f9-c1676d00ae66,
037,As-Saffat,success,5c5ae297-d67a-4035-8be3-3c50b07b02ec,
038,Sad,success,0d25a65f-754a-482a-b395-be0adcde47fe,
